artist,status,performer_id,performer_name,performer_url,note
CMAT,followed,2565770,CMAT,https://goout.net/en/cmat/pzuffog/,
COIN,followed,2320324,Age Coin,https://goout.net/en/age-coin/pzymmxf/,
CONNIE & Tisakorean,not_found,,,,
CRIMEAPPLE,followed,2397597,Crimeapple,https://goout.net/en/crimeapple/pzwdldg/,
CUZZOS,not_found,,,,
Cajun Dance Party,not_found,,,,
Callahan & Witscher,not_found,,,,
Camera Obscura,not_found,,,,
Cameron Winter,not_found,,,,
Camp Cope,not_found,,,,
Camp Green Lake,not_found,,,,
Camp Trash,not_found,,,,
Camping In Alaska,not_found,,,,
Cap'n Jazz,not_found,,,,
Capstan,followed,2396097,Capstan,https://goout.net/en/capstan/pzwsidg/,
Captain,followed,2424535,Memphis May Fire,https://goout.net/en/memphis-may-fire/pzkgefg/,
Car Seat Headrest,followed,2245787,Car Seat Headrest,https://goout.net/en/car-seat-headrest/pzmgssf/,
Caracara,followed,2491783,Caracara,https://goout.net/en/caracara/pzivljg/,
Caravela,not_found,,,,
Cardi B,followed,2362613,Cardi B,https://goout.net/en/cardi-b/pznefbg/,
Cardi B & YG,not_found,,,,
Cardi B,followed,2362613,Cardi B,https://goout.net/en/cardi-b/pznefbg/,
Carducci String Quartet,not_found,,,,
Career Woman,not_found,,,,
Caribou,followed,1264528,Caribou,https://goout.net/en/caribou/pzdgxfd/,
Carly Cosgrove,not_found,,,,
Caroline Polachek,followed,2439511,Caroline Polachek,https://goout.net/en/caroline-polachek/pzlfdgg/,
Caroline Polachek & Flume,not_found,,,,
Caroline Says,not_found,,,,
Caroline Shaw & Sō Percussion,not_found,,,,
Carpool,not_found,,,,
Carré & Bbyafricka,not_found,,,,
Carrier,followed,2558271,Carrier,https://goout.net/en/carrier/pzvfsng/,
Cartel,followed,2455953,Cartel Madras,https://goout.net/en/cartel-madras/pzdnehg/,
Cash Cobain,not_found,,,,
Cassandra Jenkins,not_found,,,,
Cat Power,followed,2283013,Cat Power,https://goout.net/en/cat-power/pznucvf/,
Catch,followed,2360723,C.C. Catch,https://goout.net/en/c-c-catch/pzxdcbg/,
Cate Le Bon,followed,2250861,Cate Le Bon,https://goout.net/en/cate-le-bon/pzljbtf/,
Cecile Believe,not_found,,,,
Ceebo,not_found,,,,
Ceechynaa,not_found,,,,
Cell Rot,not_found,,,,
Central Cee,followed,2476562,Central Cee,https://goout.net/en/central-cee/pzmmmig/,
Central Cee & J Hus,not_found,,,,
Ceres,not_found,,,,
Chad Lawson,not_found,,,,
Chairlift,not_found,,,,
Chalk Hands,followed,2304196,Chalk Hands,https://goout.net/en/chalk-hands/pzvrlwf/,
Chance The Rapper,not_found,,,,
Chance the Rapper,not_found,,,,
Chappell Roan,followed,2573903,Chappell Roan,https://goout.net/en/chappell-roan/pzdgsog/,
Charli xcx,followed,34838,Charli xcx,https://goout.net/en/charli-xcx/pznsfc/,
Charli xcx & A. G. Cook,not_found,,,,
Charli xcx & Ariana Grande,not_found,,,,
Charli xcx & Bb trickz,not_found,,,,
Charli xcx & Billie Eilish,not_found,,,,
Charli xcx & Bladee,not_found,,,,
Charli xcx & Bon Iver,not_found,,,,
Charli xcx & Caroline Polachek,not_found,,,,
Charli xcx & Christine and the Queens,not_found,,,,
Charli xcx & John Cale,not_found,,,,
Charli xcx & Julian Casablancas,not_found,,,,
Charli xcx & Lorde,not_found,,,,
Charli xcx & Shygirl,not_found,,,,
Charli xcx & The Japanese House,not_found,,,,
Charli xcx & Tinashe,not_found,,,,
Charli xcx & Troye Sivan,not_found,,,,
Charli xcx,followed,34838,Charli xcx,https://goout.net/en/charli-xcx/pznsfc/,
Charli xcx,followed,34838,Charli xcx,https://goout.net/en/charli-xcx/pznsfc/,
Charli xcx,followed,34838,Charli xcx,https://goout.net/en/charli-xcx/pznsfc/,
Charlie Kaplan,not_found,,,,
Charlotte Day Wilson & Saya Gray,not_found,,,,
Charmer,followed,2539871,Care Charmer,https://goout.net/en/care-charmer/pzvtnmg/,
Chastity,followed,2355661,Chastity,https://goout.net/en/chastity/pzlbtag/,
Chat Pile & Hayden Pedigo,not_found,,,,
Che,followed,2276783,Suicideboys,https://goout.net/en/suicideboys/pzivruf/,
Che & OsamaSon,not_found,,,,
Cheekface,not_found,,,,
Chief State,not_found,,,,
Chloe Battelle,not_found,,,,
Christie Front Drive,not_found,,,,
Christine Arand,not_found,,,,
Christine and the Queens,followed,985808,Christine and the Queens,https://goout.net/en/christine-and-the-queens/pzihcnc/,
Chromatics,followed,29302,Chromatics,https://goout.net/en/chromatics/pzcwvb/,
Chuckyy,not_found,,,,
Chy Cartier,not_found,,,,
Cigarettes After Sex,followed,2242317,Cigarettes After Sex,https://goout.net/en/cigarettes-after-sex/pzrrmsf/,
Cink&tej,not_found,,,,
Circa Survive,not_found,,,,
Citizen,followed,2315539,Citizen,https://goout.net/en/citizen/pzovexf/,
Clairo,followed,2418641,Clairo,https://goout.net/en/clairo/pzquteg/,
Clap Your Hands Say Yeah,followed,2302292,Clap Your Hands Say Yeah,https://goout.net/en/clap-your-hands-say-yeah/pzrqiwf/,
Clara La San,followed,2587949,Clara La San,https://goout.net/en/clara-la-san/pzyrppg/,
Clipse,not_found,,,,
Cloakroom,followed,2311396,Cloakroom,https://goout.net/en/cloakroom/pzvfxwf/,
Cloth,not_found,,,,
Cloud Nothings,followed,2191954,Cloud Nothings,https://goout.net/en/cloud-nothings/pzedhpf/,
Club Night,not_found,,,,
Cobrah,followed,2545675,Cobrah,https://goout.net/en/cobrah/pzacxmg/,
CocoRosie,followed,11722,CocoRosie,https://goout.net/en/cocorosie/pzwss/,
Cocobolo,not_found,,,,
Codeine,not_found,,,,
Coheed and Cambria,followed,2364095,Coheed and Cambria,https://goout.net/en/coheed-and-cambria/pzunhbg/,
Coilguns,followed,2306561,Coilguns,https://goout.net/en/coilguns/pzlmpwf/,
Cola,followed,2291354,Cola,https://goout.net/en/cola/pzeeqvf/,
Cole Pulice,not_found,,,,
Colter Wall,followed,2364315,Colter Wall,https://goout.net/en/colter-wall/pzpwhbg/,
Coma Cinema,not_found,,,,
Combat,followed,2538012,Choke Combat,https://goout.net/en/choke-combat/pzmukmg/,
Comet,followed,2569500,Comet,https://goout.net/en/comet/pzaflog/,
Common Holly,not_found,,,,
Common Sage,not_found,,,,
Computer,followed,2403467,Look Mum No Computer,https://goout.net/en/look-mum-no-computer/pzrnudg/,
Conan Gray,followed,2380081,Conan Gray,https://goout.net/en/conan-gray/pzgdicg/,
Conor Oberst,followed,2287442,Conor Oberst,https://goout.net/en/conor-oberst/pzrwjvf/,
Conway the Machine,followed,2568139,Conway the Machine,https://goout.net/en/conway-the-machine/pzoajog/,
Copeland,followed,2391259,Stewart Copeland,https://goout.net/en/stewart-copeland/pzjabdg/,
Coults,not_found,,,,
Courtney Barnett,followed,2323099,Courtney Barnett,https://goout.net/en/courtney-barnett/pzyxqxf/,
Courtney Marie Andrews,followed,2466135,Courtney Marie Andrews,https://goout.net/en/courtney-marie-andrews/pzkuuhg/,
Crack Cloud,followed,2398410,Crack Cloud,https://goout.net/en/crack-cloud/pzklmdg/,
Craig Finn,followed,2406568,Craig Finn,https://goout.net/en/craig-finn/pzsmaeg/,
Crash Of Rhinos,followed,2288,Crash of Rhinos,https://goout.net/en/crash-of-rhinos/pznqd/,
Criteria,not_found,,,,
Crumb,followed,2344287,Crumb,https://goout.net/en/crumb/pzmvaag/,
Cursive,not_found,,,,
Cusp,not_found,,,,
Customer Service,not_found,,,,
Cut Copy,followed,27198,Cut Copy,https://goout.net/en/cut-copy/pzxmsb/,
Cymbals,followed,2258414,Cymbals Eat Guitars,https://goout.net/en/cymbals-eat-guitars/pzolntf/,
Cymbals Eat Guitars,followed,2258414,Cymbals Eat Guitars,https://goout.net/en/cymbals-eat-guitars/pzolntf/,
D'Leesa,not_found,,,,
D-Block Europe & Lil Tjay,not_found,,,,
DC,followed,2584987,DC,https://goout.net/en/dc/pzmykpg/,
